"Country","Pollution Index","GDP/Capita","WB Region","GDP"
"Moldova",0.9024390243902439,2165.15640421854,"Europe & Central Asia",7685763945.87477
"Monaco",0.8048780487804879,144246.368774966,"Europe & Central Asia",5350674803.33858
"Mongolia",0.3780487804878049,4071.09328952564,"East Asia & Pacific",12521245862.6497
"Montenegro",0.5,7812.94761401677,"Europe & Central Asia",4863333314.24463
"Morocco",0.7926829268292683,3292.4451382631,"Middle East & North Africa",119490103786.433
"Mozambique",0.43902439024390244,518.960877316604,"Sub - Saharan Africa",15396964121.6007
"Myanmar",0.35365853658536583,1484.2007463891,"East Asia & Pacific",79212697713.041
"Namibia",0.5365853658536586,5854.86161607748,"Sub - Saharan Africa",14835013233.6474
"Nepal",0.43902439024390244,728.400081143202,"South Asia",21345762921.1014
"Netherlands",0.8658536585365854,53597.8343255379,"Europe & Central Asia",918283870215.63
"New Zealand",0.25609756097560976,37852.8735920204,"East Asia & Pacific",181462890712.787
"Nicaragua",0.3780487804878049,2016.31994999177,"Latin America and the Caribbean",12536632610.9898
"Niger",0.7073170731707317,395.937288666239,"Sub - Saharan Africa",8503682934.86128
"Nigeria",0.573170731707317,2412.40999958204,"Sub - Saharan Africa",460496045439.726
"Norway",0.23170731707317074,91218.6184273408,"Europe & Central Asia",481837084285.123
"Oman",0.17073170731707318,16144.4072165264,"Middle East & North Africa",74849701690.5071
"Pakistan",0.7317073170731707,1222.52390632114,"South Asia",240856714914.19
"Panama",0.32926829268292684,11513.2776835837,"Latin America and the Caribbean",47188170241.3263
"Papua New Guinea",0.17073170731707318,2401.57138123615,"East Asia & Pacific",19815754521.1432
"Paraguay",0.48780487804878053,3905.92997076793,"Latin America and the Caribbean",26604449092.1017
"Peru",0.5,6172.69358983485,"Latin America and the Caribbean",198547683073.429
"Philippines",0.48780487804878053,2891.35889010634,"East Asia & Pacific",303355852254.477
"Poland",0.8170731707317074,15751.233833289,"Europe & Central Asia",598166351606.805
"Portugal",0.8292682926829269,23116.5793325883,"Europe & Central Asia",237955548774.292
"Puerto Rico",0.4634146341463415,27308.9938782031,"Latin America and the Caribbean",93028633825.9765
"Romania",0.7317073170731707,10932.3271455023,"Europe & Central Asia",214126451996.14
"Russian Federation",0.23170731707317074,11441.0034569958,"Europe & Central Asia",1680005299557.78
"Rwanda",0.6951219512195121,765.224557813422,"Sub - Saharan Africa",9342172848.18128
"San Marino",0.8292682926829269,52932.2795840438,"Europe & Central Asia",1767938138.10706
"Senegal",0.5609756097560976,1134.0822404205,"Sub - Saharan Africa",17975846535.2953
"Serbia",0.7560975609756098,5992.28206872581,"Europe & Central Asia",42079410618.1871
"Sierra Leone",0.25609756097560976,462.457598227353,"Sub - Saharan Africa",3494890110.81493
"Singapore",0.6829268292682927,55235.5128859343,"East Asia & Pacific",309995672900.623
"Slovak Republic",0.7439024390243902,19897.1535070024,"Europe & Central Asia",108238366185.515
"Slovenia",0.6097560975609756,25662.4149142155,"Europe & Central Asia",53037744699.125
