"Country","Total Population","GDP/Capita","WB Region","GDP"
"Malaysia",31624264,11521.4544635159,"East Asia & Pacific",364357517618.205
"Maldives",436330,8980.03398204722,"South Asia",3918258227.38666
"Mali",18541980,762.225969530664,"Sub - Saharan Africa",14133178682.5182
"Malta",465292,27145.8105379443,"Middle East & North Africa",12630728476.8212
"Marshall Islands",53127,3454.32339023195,"East Asia & Pacific",183517838.752853
"Mauritania",4420184,1305.20504287568,"Sub - Saharan Africa",5769246447.2384
"Mauritius",1264613,10186.0538222188,"Sub - Saharan Africa",12881416082.2775
"Mexico",129163276,9946.15799447644,"Latin America and the Caribbean",1284678350180.167
"Micronesia, Fed. Sts.",105544,2863.33943047965,"East Asia & Pacific",302208296.850544
"Moldova",3549750,2165.15640421854,"Europe & Central Asia",7685763945.87477
"Monaco",38695,144246.368774966,"Europe & Central Asia",5350674803.33858
"Mongolia",3075647,4071.09328952564,"East Asia & Pacific",12521245862.6497
"Montenegro",622471,7812.94761401677,"Europe & Central Asia",4863333314.24463
"Morocco",35739580,3292.4451382631,"Middle East & North Africa",119490103786.433
"Mozambique",29668834,518.960877316604,"Sub - Saharan Africa",15396964121.6007
"Myanmar",53370609,1484.2007463891,"East Asia & Pacific",79212697713.041
"Namibia",2533794,5854.86161607748,"Sub - Saharan Africa",14835013233.6474
"Nauru",13649,9609.66179329479,"East Asia & Pacific",131162273.816681
"Nepal",29304998,728.400081143202,"South Asia",21345762921.1014
"Netherlands",17132854,53597.8343255379,"Europe & Central Asia",918283870215.63
"New Zealand",4793900,37852.8735920204,"East Asia & Pacific",181462890712.787
"Nicaragua",6217581,2016.31994999177,"Latin America and the Caribbean",12536632610.9898
"Niger",21477348,395.937288666239,"Sub - Saharan Africa",8503682934.86128
"Nigeria",190886311,2412.40999958204,"Sub - Saharan Africa",460496045439.726
"Northern Mariana Islands",55144,19115.3764753192,"East Asia & Pacific",1051785359.80149
"Norway",5282223,91218.6184273408,"Europe & Central Asia",481837084285.123
"Oman",4636262,16144.4072165264,"Middle East & North Africa",74849701690.5071
"Pakistan",197015955,1222.52390632114,"South Asia",240856714914.19
"Palau",21729,9983.22570840395,"East Asia & Pacific",216925511.417909
"Panama",4098587,11513.2776835837,"Latin America and the Caribbean",47188170241.3263
"Papua New Guinea",8251162,2401.57138123615,"East Asia & Pacific",19815754521.1432
"Paraguay",6811297,3905.92997076793,"Latin America and the Caribbean",26604449092.1017
"Peru",32165485,6172.69358983485,"Latin America and the Caribbean",198547683073.429
"Philippines",104918090,2891.35889010634,"East Asia & Pacific",303355852254.477
"Poland",37975841,15751.233833289,"Europe & Central Asia",598166351606.805
"Portugal",10293718,23116.5793325883,"Europe & Central Asia",237955548774.292
"Puerto Rico",3337177,27308.9938782031,"Latin America and the Caribbean",93028633825.9765
"Qatar",2639211,65696.3871315716,"Middle East & North Africa",173386627577.902
"Romania",19586539,10932.3271455023,"Europe & Central Asia",214126451996.14
"Russian Federation",144495044,11441.0034569958,"Europe & Central Asia",1680005299557.78
"Rwanda",12208407,765.224557813422,"Sub - Saharan Africa",9342172848.18128
"Samoa",196440,3851.01196654314,"East Asia & Pacific",756492790.707734
"San Marino",33400,52932.2795840438,"Europe & Central Asia",1767938138.10706
"Sao Tome and Principe",204327,1305.62191401799,"Sub - Saharan Africa",266773808.825555
"Saudi Arabia",32938213,20796.319460318,"Middle East & North Africa",684993600000
"Senegal",15850567,1134.0822404205,"Sub - Saharan Africa",17975846535.2953
"Serbia",7022268,5992.28206872581,"Europe & Central Asia",42079410618.1871
"Seychelles",95843,13997.0844970252,"Sub - Saharan Africa",1341522569.44838
"Sierra Leone",7557212,462.457598227353,"Sub - Saharan Africa",3494890110.81493
"Singapore",5612253,55235.5128859343,"East Asia & Pacific",309995672900.623
"Slovak Republic",5439892,19897.1535070024,"Europe & Central Asia",108238366185.515
"Slovenia",2066748,25662.4149142155,"Europe & Central Asia",53037744699.125
"Solomon Islands",611343,1521.29430261452,"East Asia & Pacific",930032622.843267
"South Africa",56717156,7524.51118439041,"Sub - Saharan Africa",426768874668.815
"Spain",46572028,32405.7508143881,"Europe & Central Asia",1509201534288.7
"Sri Lanka",21444000,3842.29599928337,"South Asia",82394195408.6326
"St. Kitts and Nevis",55345,15779.3196405504,"Latin America and the Caribbean",873306445.50626
"St. Lucia",178844,8554.58635432944,"Latin America and the Caribbean",1529936441.95369
